температура,давление,плотность,вязкость,содержание серы,точка возгорания,обводненность,содержание соли,индекс качества
116.92,6.98,880.48,2.41,1.485,122.74,13.1,73.19,38.24
90.11,9.64,860.5,23.57,0.424,158.52,3.69,10.45,49.29
123.69,4.21,830.81,31.48,1.843,74.17,7.33,34.21,25.6
110.79,4.71,873.38,23.83,0.543,113.79,0.45,123.31,47.96
62.53,8.27,817.18,7.84,0.242,127.54,0.13,155.02,41.86
133.05,5.45,875.83,20.78,1.621,159.01,10.58,151.21,38.89
115.89,7.58,860.15,21.47,2.114,194.49,1.77,116.74,38.62
117.89,5.03,819.41,10.6,2.741,176.48,8.22,16.95,34.31
65.25,2.78,816.76,38.18,2.516,141.34,10.44,3.46,11.1
91.03,7.66,873.82,17.09,2.75,135.46,0.48,156.43,24.2
84.66,2.01,834.9,30.07,2.444,138.49,6.73,109.88,22.69
129.14,2.63,885.59,26.51,2.265,129.5,10.26,156.54,25.52
106.51,6.57,874.78,44.06,0.082,54.2,13.35,32.56,28.5
120.82,7.67,869.35,7.42,2.022,153.24,4.49,81.48,42.97
90.47,9.03,833.68,7.04,0.43,156.03,14.61,183.83,36.16
73.18,3.31,870.26,16.07,0.235,124.43,12.67,34.32,40.99
99.37,1.82,890.59,22.41,0.543,179.91,9.76,12.31,57.27
60.11,9.6,817.78,15.98,2.643,149.23,5.88,130.69,18.07
121.21,2.22,837.72,38.51,2.393,101.21,10.67,118.91,18.39
105.53,2.62,829.95,13.4,3.039,48.05,12.24,190.41,5.52
115.65,3.48,843.43,5.61,3.134,54.17,4.55,181.29,15.65
83.36,5.67,873.1,21.57,2.864,99.53,14.89,149.89,7.21
132.66,8.92,850.31,39.01,0.469,116.63,13.63,3.83,42.29
126.45,7.8,858.51,42.75,2.817,70.87,7.28,96.08,13.7
117.27,7.32,836.7,37.07,2.692,74.35,10.84,179.22,7.1
70.57,2.41,822.01,28.56,2.794,80.68,7.86,86.73,0.0
92.34,4.09,832.69,36.62,0.528,165.98,11.41,192.43,32.71
58.5,5.2,883.07,34.55,0.418,164.55,12.4,130.5,26.02
67.34,2.16,861.21,12.87,2.96,104.36,0.35,21.89,18.37
109.64,3.32,842.13,28.21,0.598,71.72,1.19,101.85,41.05
114.58,3.64,877.14,38.87,1.211,62.19,5.05,139.12,24.83
132.4,1.97,815.48,16.88,1.486,58.51,13.76,13.07,26.95
81.07,5.86,831.58,33.22,0.442,105.65,5.97,68.93,34.64
